iter,solution
115,0 1 1 1 1 1 
116,0 0 1 0 1 1 
117,1 1 1 0 1 1 
118,0 1 0 0 1 1 
119,0 1 1 0 1 0 
120,0 0 1 0 1 1 
121,0 1 1 0 0 1 
122,0 1 1 1 1 1 
123,0 1 1 0 0 1 
124,1 1 1 0 1 1 
125,0 1 1 1 1 1 
126,0 0 1 0 1 1 
127,0 0 1 0 1 1 
128,0 1 0 0 1 1 
129,0 1 0 0 1 1 
130,0 1 1 0 0 1 
131,0 1 0 0 1 1 
132,0 1 1 1 1 1 
133,0 1 1 0 1 0 
134,0 1 0 0 1 1 
135,0 1 0 0 1 1 
136,0 0 1 0 1 1 
137,0 0 1 0 1 1 
138,0 1 1 1 1 1 
139,1 1 1 0 1 1 
140,0 1 0 0 1 1 
141,0 0 1 0 1 1 
142,0 0 1 0 1 1 
143,1 1 1 0 1 1 
144,0 1 1 0 1 0 
145,0 1 1 0 0 1 
146,0 0 1 0 1 1 
147,0 1 1 0 0 1 
148,0 1 1 0 0 1 
149,0 1 1 0 1 0 
150,0 1 0 0 1 1 
151,0 1 1 1 1 1 
152,0 0 1 0 1 1 
153,0 1 1 0 1 0 
154,0 1 1 0 0 1 
155,0 0 1 0 1 1 
156,0 1 1 1 1 1 
157,0 1 1 0 0 1 
158,0 0 1 0 1 1 
159,0 1 1 0 1 0 
160,1 1 1 0 1 1 
161,0 1 1 0 0 1 
162,0 1 1 1 1 1 
163,0 0 1 0 1 1 
164,0 1 0 0 1 1 
165,0 1 1 0 1 0 
166,1 1 1 0 1 1 
167,0 1 1 0 0 1 
168,0 0 1 0 1 1 
169,1 1 1 0 1 1 
170,0 1 1 1 1 1 
171,1 1 1 0 1 1 
172,0 0 1 0 1 1 
173,0 1 0 0 1 1 
174,0 1 0 0 1 1 
175,0 1 1 0 1 0 
176,0 1 0 0 1 1 
177,0 0 1 0 1 1 
178,0 1 0 0 1 1 
179,0 1 1 0 0 1 
180,0 1 1 1 1 1 
181,0 0 1 0 1 1 
182,0 1 0 0 1 1 
183,1 1 1 0 1 1 
184,0 0 1 0 1 1 
185,0 0 1 0 1 1 
186,0 1 1 0 0 1 
187,0 0 1 0 1 1 
188,0 1 0 0 1 1 
189,0 1 1 0 0 1 
190,0 1 1 0 0 1 
191,0 1 1 0 0 1 
192,0 1 1 1 1 1 
193,0 1 1 1 1 1 
194,0 1 1 0 0 1 
195,0 1 0 0 1 1 
196,0 1 1 0 0 1 
197,0 0 1 0 1 1 
198,0 1 0 0 1 1 
199,0 1 0 0 1 1 
